NOMMO	N AA M OW
ABYSSAND	AH B AY Z S AE N D
IMPARK	IH M P AA R K
SINCEROOTED	S IH N S AH R UW T AH D
BYES	B AY Z
CHICKPEAS	CH IH K P IY Z
LOVELYGONE	L AH V L IY G AO N
IMBATTELLD	IH M B AE T AH L D
LYS	L IH Z
EXISTENCEIS	EH G Z IH S T AH N S IY Z
SIGHTTHE	S AY T DH
PROCREANT	P R OW K R IY AH N T
YOUTURN	Y AW T AH R N
CHAROLAIS	CH AH R AA L EY AH S
COOKERY	K UH K AH R IY
ASSASSINATIONWHEN	AE S AE S AH N EY T IY AA N W AH N
UNCLOUDED	AH N K L AW D IH D
BRETHRENI	B R EH TH R AH N IY
FIDELIO	F AH D IY L IY OW
VELDT	V EH L T
MALVOLIO	M AE L V OW L IY OW
WEAPONIZED	W EH P AH N AY Z D
GLAZEOF	G L EY Z IY AH F
DAMASKED	D AE M AE S K T
PRACTIS	P R AE K T AH S
ARGUER	AA R G Y UW ER
DARKWATERS	D AA R K W AO T ER Z
REEDLIGHT	R IY D L AY T
CABBED	K AE B D
STOICAL	S T OW IH K AH L
GARDED	G AA R D AH D
FIRENZE	F IH R AH N Z
ASONE	AH S OW N
CABILLS	K AE B IH L Z
PATRICIDE	P AE T R AH S AY D
ADVERSITEE	AE D AH R S AH T IY IY
FLOW'RS	F L OW R Z
KATMAI	K AE T M EY
SONNETEER	S AA N AH T IH R
THEOTHER	TH IY AH DH AH R
THEN…	DH EH N
ROOTE	R UW T
TOTHERS	T AA TH AH R Z
SUCK'ST	S AH K S T
MOROSELY	M AH R OW S L IY
SULTANA	S AH L T AH N AH
CHAFFER	CH AE F ER
DESTROYD	D IH S T R OY D
YERST	Y AH R S T
UNSPOTTED	AH N S P AA T IH D
TRYSTEXHALES	T R IH S T AH K S EY L Z
CAPANEUS	K AH P EY N IY AH S
BANGLED	B AE NG G AH L D
LEATHERED	L EH DH ER D
WUSTE	W AH S T
SEEAS	S IY AH Z
ANTHROPOIDAL	AE N TH R AH P OY D AH L
SALUTATION	S AE L Y AH T EY SH AH N
UNWOVEN	AH N W OW V AH N
KNEWWAS	N Y UW W AH Z
SNOWSHINE	S N OW SH AY N
GETE	JH IY T
SEARCHNG	S AH R K NG
GYFU	JH IH F UW
YOWL	Y OW L
PETRIFIC	P EH T R IH F AH K
HIGHLIGHTER	HH AY L AY T ER
FALLINGI	F AE L IH N JH IY
CRANING	K R EY N IH NG
LOWBALLING	L OW B AO L IH NG
SUICIDELIGHTLY	S UW AH S AY D L AY T L IY
KNELLS	N EH L Z
ARACHNE	AE R AH K N
/AND	AE N D
VERSCHWUNDEN	V AH R S W AH N D AH N
ANNUS	AE N AH S
LIMBIC	L IH M IH K
MAJESTIES	M AE JH AH S T IY Z
REMBLES	R EH M B AH L Z
EAGLESDIVE	IY G AH L Z D AY V
GATHERD	G AE TH AH R D
GANA	G AE N AH
SNAKESWALLOWING	S N EY K S W AA L OW IH NG
TOUCHAND	T AW CH AH N D
ENTREAT	EH N T R IY T
SPHINCTERS	S F IH NG K T AH R Z
BLOOMLESS	B L UW M L AH S
ANEMONES	AE N AH M OW N Z
DARKNESSMAKES	D AA R K N AH S M EY K S
HAPPYPLOUGHMAN	HH AE P AH P L AW M AH N
MANTOVANO	M AE N T AA V AH N OW
WIRBELKNOCHEN	W AH R B EH L K N AH CH AH N
SUPPLYS	S AH P L AY Z
ENDEARS	EH N D IH ER Z
WORLDTO	W AH R L D T OW
HUSHABY	HH AH SH AH B AY
MACQUIN	M AE K W AH N
GOOSES	G UW S IH Z
SISAL	S IY Z AH L
VESPASIAN	V EH S EY Z IY AH N
MUDBANK	M AH D B AE NG K
ALLURES	AH L UH R Z
BLANNSTEPPED	B L AE N S T AH P T
ORNAMENTAND	AO R N AH M EH N T AH N D
*	
MOLEHEADED	M OW L HH EH D IH D
SOMME	S AA M
ACRIDACRID	AE K R AH D AE K R AH D
SHADOWSIN	SH AE D OW S IH N
AGOSU	AE G AH S UW
ROUNDELAY	R AW N D EH L EY IY
MOVIESLIPPING	M UW V IY S L IH P IH NG
GLUEON	G L UW AO N
LISHMENT	L IH SH M AH N T
CREATURESHE	K R IY T Y AH R AH SH
YETTHIS	Y EH T TH AH S
MISTINESS	M IH S T AY N AH S
SIGNORA	S IY N Y OW R AH
FROTHTHE	F R AA TH DH
POSTPAST	P OW S T P AE S T
GUAYMAS	G Y UW EY M AH Z
DIMPLING	D IH M P L AH NG
CURTEISYE	K AH R T IY S AY
VERNACULARS	V ER N AE K Y AH L ER Z
SHOCKOF	SH AA K AH F
SCEPTER	S EH P T AH R
TRANSITORIE	T R AE N Z AH T ER IY
MWOAN	M W OW AH N
ANNWHOSE	AE N W HH OW Z
ESCRIPT	EH S R AH P T
METICULOUSLYSTRIPPINGA	M AH T AH K Y UW L AW Z L IH S T R AH P IH N G AH
THANKGIVING	TH AE NG K G IH V IH NG
ETERNITYBREATHES	IH T ER N AH T IY B R IY DH Z
DENTALLY	D EH N T AH L IY
HAVEOUR	HH EY V IY AH R
JUSTBECAUSE	JH AH S T B IY K AO Z
BRIGGE	B R IH JH
GLADNES	G L AE D N Z
INVIDIOUSLY	IH N V AH D IY OW AH S L IY
UNWELCOMING	AH N W EH L K AH M IH NG
ARBUTUS	AA R B Y UW T AH S
WEEPINGS	W IY P IH NG Z
PRUDEAND	P R UW D IY N D
SYMBOLISING	S IH M B AH L IY Z IH NG
PRETIOUS	P R IY T AY AH S
HOBLES	HH OW B AH L Z
HUNGERS	HH AH NG G ER Z
MADIN	M AE D IH N
BURNINGWITH	B ER N IH NG W IH TH
SOPHI	S AA F IY
IMMIGRANTY	IH M AH G R AH N T IY
GI	JH IY
BRIGADIERSBEAT	B R IH G AH D IH ER Z B IY T
BEDIVERE	B AH D IH V AH R
FAIGNED	F EY N D
BARKEEP	B AA R K IY P
STAGESAT	S T EY JH S AE T
TD	T IY D
ITCHWITH	IH CH W IH TH
SHEEPSHEAD	SH IY P S HH EH D
BESTUCK	B IH S T AH K
ROOMCOMPOSED	R UW M K AH M P OW Z D
HEARTBLUENESS	HH AA R T B L UW N AH S
GINKGO	G IH NG K OW
MADONNAS	M AH D AA N AH Z
PRIETH	P R AY IH TH
OUTSPREAD	AW T S P R EH D
FAIENCE	F EY AH N S
ADDE	AE D
MAQAM	M AE K AH M
SMILETHE	S M IH L AH DH
HOWSO	HH OW S OW
LATHED	L EY DH D
RIFFLES	R IH F AH L Z
WARMEDIN	W AO R M D IH N
{	
CLITTER	K L IH T AH R
UNFURLD	AH N F AH R L D
PANTALONES	P AE N T AH L OW N Z
REIGNETH	R EY N IH TH
PRETERITE	P R IY T AH R AY T
EDUCING	EH D Y UW S AH NG
YEARSWITHOUT	Y IH ER Z W IH TH AW T
GRAMPA	G R AE M P AH
SPROCKETED	S P R AA K IY T AH D
THINKINGABOUT	TH IH N K IH NG AH B AW T
BENDETHE	B IH N D EH DH
BROMIDIC	B R OW M AY D IH K
UNCURLING	AH N K ER L IH NG
STONEROLLED	S T OW N R OW L D
GUITH	G AY TH
SOIT	S OY T
ETERNALS	IH T ER N AH L Z
HAHE	HH AE HH
TREMBLINGTHERE	T R EH M B L IH N G TH AH R
HOGEM	HH AA JH AH M
INVOLUTES	IH N V AA L Y UW T S
12TH	W AH N T UW T IY EY CH
_______________	
PISTONSHAMELESS	P IH S T AH N SH EY M L AH S
WHOLEBLUE	HH OW L B L UW
BOTTLEON	B AA T AH L AO N
DARWINWHO	D AA R W IH N W HH OW
INKE	IH N K IY
FOUSSARGUES	F AW S AH R G Z
MAKED	M EY K T
LONGVIL	L AA N G AH L
2100	T UW W AH N Z IY R OW Z IY R OW
PREISTLY	P R IY IH S T L IY
SHRILLS	SH R IH L Z
VIOLININ	V AY AH L IH N IH N
60S	S IH K S Z IY R OW EH S
DROPLETS–I	D R AA P L EH T S IY
SOUTHRON	S AW TH R AH N
!	
BEMUSING	B IH M Y UW Z IH NG
THEMSELVESAND	TH EH M Z EH L V AH S AH N D
ADVENTURING	AH D V EH N CH ER IH NG
HATEFULNESS	HH EY T F AH L N AH S
BOWSCALE	B AW S K EY L
AROUNDA	AH R AW N D AH
FOUNTAININTO	F AW N T AH N IH N T OW
COSMOGRAPHY	K AA S M AA G R AH F IY
FROTHOUT	F R AO TH AW T
THINKIS	TH IH NG K IY Z
IMMODESTLY	IH M AA D AH S T L IY
GREIFE	G R IY F
MOABS	M OW B Z
TRAMMED	T R AE M D
BLACKWATER	B L AE K W AO T ER
DIRTCLOD	D ER T K L AA D
PURBLINDLY	P AH R B L AY N D L IY
TRANSFIXT	T R AE N S IH K S T
KACHINAS	K AE CH AH N AH Z
TITHON	T IH TH AH N
RESTOR	R EH S T ER
FLEECH	F L IY CH
LIBIDINAL	L AH B IH D AH N AH L
UNCLASPS	AH N K L AE S P S
BRENNEBAUM	B R EH N AH B AH M
PALISADEOF	P AE L AH S EY D IY AH F
SOFTETHAT	S AA F T AH TH AH T
POPPIESBLUE	P AA P IY Z B L UW
EGZISTE	EH G Z AY S T
FORTIFIE	F AO R T AH F AY
COOLIE	K UW L IY
DIGNITYDECLARES	D IH G N AH T IY D IH K L EH R Z
THROUGHWITH	TH R AW W AH TH
BIRDSPOEMS	B ER D Z P OW AH M Z
FLESHSTEP	F L EH SH S T EH P
QUADRANTS	K W AA D R AH N T S
ACROSSTHE	AE K R AH S DH
WHORISHLY	HH OW R IH SH L IY
SHTIASNI	SH T AY AE Z N IY
SWELLLIKE	S W EH L AY K
TURGESCENT	T AH R JH EH S AH N T
LABORTWICE	L EY B ER T W AY S
PETALED	P EH T AH L D
THENTO	TH EH N T OW
PRESSINGMY	P R IY S IH N M IY
SAFE­	S EY F
UNCULL	AH N K AH L
WATERSHOULD	W AA T AH R SH OW L D
FIB	F IH B
ARCHIPIADA	AA R K AH P IY AH D AH
UNIVERSITYWHILE	Y UW N AH V AH R S IH T AH W AH L
BUMPSY	B AH M P S IY
CARAMELIZES	K AA R M AH L AY Z IH Z
MÆANDER	M AE N D AH R
RIDDLES7	AA R AY D IY D IY EH L IY EH S EH V AH N
GIZZARDS	JH IH Z AH R D Z
NONEXISTENCE	N AA N EH G Z IH S T AH N S
BREASTWORKS	B R EH S T W ER K S
OBJECTS/	AA B JH IH K T S
PINKYRING	P IH NG K IY R IH NG
BLACKFEET	B L AE K F IY T
TOTREMBLE	T AA T R AH M B AH L
AMBITIONNOR	AE M B IH SH AH N ER
BACKCIDE	B AE K S AY D
DELIV'RANCE	D AH L IH V R AH N S
PLATEAUS	P L AE T OW Z
FLECKED*	F L EH K T
REITERANCE	R IY IH T ER AH N S
TROPHIME	T R AH F AY M
SANTANAS	S AE N T AH N AH Z
THUMBOR	TH AH M ER
PYLGRYME	P IH L G R AY M
CALLD	K AE L D
BOTCHING	B AA CH AH NG
WILDLING	W AY L D L IH NG
AGH	AE
CANFALL	K AE N F AO L
CADDIS	K AE D IY Z
WRESTLYNG	R EH S T L AH NG
AWAKT	AO AH K T
101	W AH N Z IY R OW W AH N
ELFE	EH L F
SUBLUNARY	S AH B L UW N ER IY
WHOMTHE	W AA M DH
TONGUEWHO	T AA N G W UW HH OW
BRIGAD	B R IH G AH D
VERTUE	V AH R T UW
CAPRETTA	K AE P R EH T AH
LEAVEOF	L IY V IY AH F
ÆSTHETIC	S TH IY T AH K
EPI	EH P IY
WYNNYNGE	W IH N AH N JH
COMMANDEDTO	K AA M AE N D EH D T OW
NEOSHO	N IY AH SH OW
TUILERIES	T UW L AH R AY Z
FORSAKENNESS	F AO R S EY K AH N AH S
LIQU	L IH K W
12:44	W AH N T UW F OW R F OW R
CIBBER	S IH B AH R
EVENTU	AH V EH N T UW
ABOUTSUCH	AH B AW T S AH CH
DIACHRONIC	D AY AH K R AA N IH K
CATHAIAN	K AH TH EY IY AH N
LIGHTLOCKED	L AY T L AA K T
HIGHIN	HH AY IH N
LEAVÈD	L IY V D
LUCIDLY	L UW S AH D L IY
BROTHERSDANCING	B R AH DH ER Z D AE N S IH NG
BENDLIKE	B EH N D L AY K
ATTELABUS	AE T EH L AH B AH S
SLABRY	S L AE B R IY
IMALLY	IH M AH L AY
VOCAT	V AA K AH T
ENOW	AH N OW
SLURRIED	S L ER IY D
LICKSTHE	L IH K S DH
HAPPING	HH AE P IH NG
GHEAL	G AE L
VERYNEARLY	V EH R IY N IH R L IY
FLOTSAMS	F L AA T S AH M Z
SEYL	S EY L
3/4	TH R IY F OW R
KEEPSLOW	K IY P S L OW
ADORATIONAND	AE D AH R AH T IY AH N AH N D
LOBRES	L OW B AH R Z
AWAKING	AH W EY K IH NG
ARISETH	AH R AY Z IH TH
SABÍAMOS	S AE B AH M AH Z
GENERALISED	JH EH N ER AH L IY Z D
LOCUSTWILL	L OW K AH S T W IH L
EFFIGYEFFIGY	EH F AH JH AY EH F AH JH IY
PRIDEA	P R IH D IY AH
FOLKE	F AA K
BASKETWEAVE	B AE S K AH T W IY V
BOYSEEN	B OY S IY N
OKAPI	AA K AH P IY
RYPE	R AY P
“	
REFUSEDTHE	R IH F Y UW S AH D
RS	AA R S
RAVENDARK	R EY V AH N D AA R K
CAMELLIAS	K AH M IY L Y AH Z
CHEARFUL	CH IY R F AH L
BORDERMAKING	B AO R D ER M EY K IH NG
EMBELLISHMENTS	IH M B EH L IH SH M AH N T S
TOLDE	T OW L D
HIES	HH AY Z
HARDLIEST	HH AA R D L IY AH S T
FROOT	F R UW T
OTHERWISED	AH DH ER W AY Z D
PAGEANTRIES	P AE JH AH N T R IY Z
CRAGGIE	K R AE G IY
UNWINDOWED	AH N W IH N D OW D
INSCRIBEDON	IH N S K R AY B D AA N
UPPGRADED	AH P G R EY D AH D
TALISMANS	T EY L IY Z M AE N Z
ALMSGIVING	AE L M Z AH V AH NG
UNDRESSEDIN	AH N D R EH S T IH N
BABIESIF	B EY B IY S AH F
DUKAS	D Y UW K AH Z
EZBON	EH Z AH N
SHILLINS	SH IH L IH N Z
SORY	S OW R IY
ANTHERS	AE N TH AH R Z
PAUSERS	P AO Z ER Z
ROUNDE	R AW N D
CONSPIR	K AA N S IH R
FOREARMSIV	F AH R AH R M Z AH V
IMPALAS	IH M P AE L AH Z
INCOMPLETION	IH N K AH M P L IY SH AH N
ZUNBROWNED	Z AH N B R OW N D
LANGUOROUS	L AE N G W AH R AH S
SUBLIM	S AH B L IH M
FRETTÈN	F R EH T N
CHAKA	CH AE K AH
STEDJE	S T EH JH
STONECROPS	S T OW N K R AA P S
LAUNDRESS	L AO N D R AH S
ADAMCARTWRIGHT	AH D AE M K AA R T R AY T
HIMSELFSAY	HH IH M Z EH L F S EY IY
ADVOCACIES	AE D V AH K AH S IY Z
WAHANUI	W AA HH AH N UW
SPRUNGEN	S P R AH NG AH N
LACAN	L EY K AH N
BACKTHEIR	B AE K TH IY R
OUTSPEAK	AW T S P IY K
MANÉRE	M EY N AH R
EASEFULLY	IY Z F AH L IY
IMMENSEMENTS	IH M EH N S M AH N T S
TELLHIS	T EH L AH S
/CUCKOLDRY	K AH K OW L D R IY
GAUDI	G AO D IY
NAUSET	N AO S AH T
OUTWEPT	AW T W EH P T
ANATHEMATIZEDTHE	AE N AH TH AH M AE T AH Z AH D
JACKSTONES	JH AE K S T OW N Z
OFCORRUPTED	AA F AO R AH P T AH D
TERRIBLEST	T EH R AH B AH L AH S T
VETCH	V EH CH
44	F OW R F OW R
UNDEPENDABLE	AH N D IH P EH N D AH B AH L
HANDBELLS	HH AE N D B EH L Z
MAQAMAT	M AE K AH M AH T
CITHARA	S IH TH AH R AH
HEY/	HH EY
MACHU	M AE CH UW
PERCEVALS	P AH R S EH V AH L Z
MINGELESS	M IH NG L AH S
CYBERNETICS	S AH B AH R N AH T AH S Z
COLLIDEWITH	K AH L AY D W IH TH
AIRHAVE	AE AH R EY V
BLAWN	B L AO N
WOODENLY	W UH D AH N L IY
EXPLICITNESS	IH K S P L IH S AH T N AH S
ARURU	AE R AH R UW
É	
SCRABBLY	S K R AE B L IY
POËSY	P OW Z IY
KNOWSOME	N OW S AH M
GIRALDA	JH AH R AE L D AH
WINNINGLY	W IH N IH NG L IY
TIMESESCAPED	T AY M Z IH S K EY P T
CRIMSONING	K R IH M Z AH N IH NG
AIKU	EY K UW
RIGADOON	R IH G AH D UW AO N
NODTO	N AA D T OW
NANOOK	N AE N AH K
VENTRILOQUAL	V EH N T R AH L AA K Y AH W AH
FORGETTINGS	F AO R G EH T IH NG Z
MISTAK'ST	M IH S T AE K S T
DICH	D IH CH
EXPRESSIVELY	IH K S P R EH S IH V L IY
SEATE	S IY EY T
FITZGERALDOR	F IH T S JH AH R AE L D AH R
SUPPRESSORS	S AH P R EH S ER Z
SOUPISH	S UW P IH SH
CHICKENSHITS	CH IH K AH N SH IH T S
GLAR	G L AA R
THINGSSWOOPED	TH IH NG Z S W UW P T
EURYDICE	Y UW R AH D AH S
RUEGA	R UW AH G AH
IARRANGES	AY AE R AE N JH AH Z
PROSPECTED	P R AA S P EH K T IH D
PUNCTUALLY	P AH NG K CH AH W AH L IY
BOWERBIRD	B AW ER B ER D
DASH'T	D AE SH T
UPWELLING	AH P W EH L IH NG
CONED	K OW N D
MEADOWSLET	M EH D OW Z L AH T
ASTHE	AE S DH
GRASPINGIN	G R AE S P IH N JH IH N
CIRCUMAMBULATION	S ER K AH M AE M B Y AH L EY SH AH N
VIZOR	V AY Z AH R
ZAGGING	Z AE G AH NG
INDRYING	IH N D R AY IH NG
SHET	SH EH T
ROYALES	R OW IY EY L Z
CONHOLT	K AA N HH OW L T
RAINDRENCHED	R EY N D R EH N CH T
CLOTE	K L OW T
CAELESTIAL	K IY L EH S T IY AH L
BACKFROM	B AE K R AH M
WAITIN	W EY T IH N
APIAN	EY P IY AH N
OSPIRI	AA S AH R IY
MANDRAKES	M AE N D R EY K S
MEH	M IY
FLYIN	F L AY IH N
BARGEMAN	B AA R JH M AE N
BROMEAND	B R OW M IY N D
ERAOF	EH R EY AH F
TYRANNISE	T IH R AH N AY Z
SUSEN	S UW Z AH N
GLADDENING	G L AE D AH N IH NG
PINCHESAT	P IH NG K AH S AH T
OUTAGAINST	AW T AH G EY N S T
SHAKEDANCER	SH EY K D AE N S ER
LANTSKIP	L AE N T S AH P
LIKEPERPENDICULAR	L AY K P ER P AH N D IH K Y AH L ER
TUOL	T Y UW AH L
EVILLY	IY V AH L IY
LOORE	L UH R
PUSHIN	P UH SH IH N
SHIBBOLETHS	SH IH B AH L AH TH S
CLOUDBERRIESDRENCH	K L AW D B EH R IY Z D R EH N CH
HUZZA	HH AH Z AH
SABRÁ	S AE B R
THOUGHTLE	TH AO T AH L
UNREPRESS	AH N R IY P R EH S
COMMONTO	K AA M AA N T OW
PUNKA	P AH NG K AH
WIFEBEATER	W AY F B IY T ER
UNABASH	AH N AH B AE SH
INCREDULOUSNOW	IH N K R EH D Y AH L AW Z N OW
REPROACHER	R IH P R OW CH ER
HOSTELRIE	HH AA S T EH L R AY
RIEU	R Y UW
SPEECHLESSLY	S P IY CH L AH S L IY
UPSOARING	AH P S OW R IH NG
MUCHEL	M AH CH AH L
CULLION'SCULLION	K AH L IY AA N S AH L IY AH N
SEXTANT	S EH K S T AH N T
DOY	D OW IY
CORROSIVEVAPORS	K AH R OW S IH V EY P ER Z
AGOÄN	AE G AH N
TITTIE	T IH T IY
MURMER	M AH R M AH R
DISHEVELLING	D IH SH EH V AH L IH NG
GOLDSMITHES	G OW L D S M IH TH S
DESIREWAS	D AH S IH R UW AH Z
'	
CLOTOR	K L AA T ER
BUTTONING	B AH T AH N IH NG
CHANCEL	CH AE N S AH L
INGRAFT	IH N G R AE F T
STUPEFYING	S T UW P AH F AY IH NG
PETARR	P EH T AH R
YOUJUST	Y AW JH AH S T
PURSU	P AH R S UW
DEADFALL	D EH D F AO L
GROUPSAND/OR	G R UW P S AE N D AO R
TRIBUISSE	T R AH B UW S
DISTANCESAND	D IH S T AH N S AE N D
PRIVIES	P R IH V IY Z
LEXINGTON,1977	EH L IY EH K S AY EH N JH IY T IY OW EH N W AH N AY N S EH V AH N S EH V AH N
OPAQUEPANES	OW P EY K P EY N Z
ALLUS	AE L AH S
BULBUL	B UH L B AH L
MARBLEUNDER	M AA R B AH L AH N D ER
FURRÈD	F AH R D
DYINGBEE	D AY IH NG B IY
HEAVYLONGING	HH EH V IY L AO NG IH NG
CAMEINTO	K EY M IY N T OW
ANGINAS	AE N JH AH N AH Z
UNSTRINGING	AH N S T R IH NG IH NG
MOONWAS	M UW N W AH Z
CARCANET	K AA R K AH N AH T
IPASSED	IH P AH S T
BATT'NING	B AE T N AH NG
PSYCHOKINETIC	S AY K OW K AH N EH T IH K
IMPORTANTE	IH M P AO R T AH N T
THOCHTS	TH AA CH T S
SEMITONES	S EH M IY T OW N Z
SIMPLES	S IH M P AH L Z
MAGNOLFI	M AE G N OW L F IY
DRICE	D R AY S
SWOONAND	S W UW N AH N D
FOREIN	F OW R IH N
CAREFULLYSTEER	K EH R F UH L IY S T IH ER
SUCCESSORSHIP	S AH K S EH S ER SH IH P
THECONSOMMÉ	TH AH K AA N S AH M
PHALLI	F AE L IY
ASIAASIA	EY S IY AA ZH IY AH
UNMURMURING	AH N M ER M ER IH NG
NOBODYWILL	N AH B AA D AH W AH L
CEIMICEÁN	S IY M IH S AH N
FAGGOTDICKS	F AE G AA T D AH K S
WEATHERAS	W IY TH AH R AH Z
SPIRED	S P AY ER D
THUMBSSTUBBY	TH AH M Z S T AH B IY
BREATHETHEY	B R IY TH AH TH IY
HARBORSO	HH AA R B AO R S OW
GLENNAN	G L EH N AH N
GORGING	G AO R JH IH NG
KEPE	K IY P
SCARAHAEUS	S K AH R AE HH IY AH S
GENUFLECT	JH AH N AH F L AH K T
WAKED	W EY K T
DISAPPROVINGLY	D IH S AH P R UW V IH NG L IY
UPBORN	AH P B AO R N
TRANSMOGRIFICATION	T R AE N Z M AA G R AH F AH K EY SH AH N
VAINKISSING	V EY N K IH S IH NG
CELLIFORM	S EH L AH F AH R M
DESPORT	D IY S P OW R T
KNUCKLEBONE	N AH K AH L B OW N
LIKEJOHN	L AY K JH AA N
COMESWE	K AH M EH S W
TRUSTERS	T R AH S T ER Z
TONGUESTERS	T AH NG S T ER Z
SURREALIST	S AH R IY AH L AH S T
SUNWATER	S AH N W AO T ER
TEETHSIDEWAYS	T IY TH S AY D W EY Z
EVENNEEDED	IY V AH N IY D IH D
BATTRY	B AE T R AY
ALMIGHTIES	AO L M AY T IY Z
CONSPIRINGCONSPIRING	K AH N S P AY ER IH NG K AH N S P AY ER IH NG
SCIENTISTIC	S AY AH N T IH S T IH K
SADENED	S AE D AH N D
SPLUTTER	S P L AH T AH R
SELVEN	S EH L V AH N
TANGERE	T AE N JH AH R
BIRDES	B AH R D Z
FLARFIST	F L AA R F AH S T
HUMILIS	HH AH M IY L IY Z
SPIKELETS	S P AY K L AH T S
SHERONDA	SH AH R AA N D AH
FIESTAWARE	F IY EH S T AH W EH R
RUSHT	R AH SH T
PROCESSIONALAND	P R OW S EH SH AH N AH L AE N D
AIRLESSNESS	EH R L AH S N AH S
NUMENED	N Y UW M IY N D
PHOTOSHOPPED	F OW T OW SH AA P T
BAWDRYK	B AO D R AH K
THRIFTIEST	TH R IH F T IY AH S T
HERETHE	HH EH R AH DH
'BARD	B AA R D
SALIC	S EY L IH K
ELDERING	EH L D ER IH NG
GOALAND	G OW AH L AE N D
DOORSO	D UH R S OW
BANQUETING	B AE NG K W AH T IH NG
WOODCUTTERS	W UH D K AH T ER Z
COPPELBURG	K AH P EH L B AH R G
TRUNKED	T R AH NG K T
B____	B IY
LADRONES	L AE D R OW N Z
OSCURA	AA S Y AH R AH
RETRACEOF	R IH T R EY S IY AH F
BENUMB	B IH N AH M
SWIMMES	S W IH M Z
@	
AVIFAUNA	AH V IH F AH N AH
ANSWER/	AE N S ER
CORNFLAKE	K AO R N F L EY K
STELLECTRICSTELLECTRIC	S T EH L EH K T R AH K S T EH L AH K T R AH K
XE	Z IY
KNEEHOLE	N IY HH OW L
BARBACK	B AA R B AE K
LAMBEG	L AE M B EH G
BOOJUM	B UW JH AH M
NEMESES	N AH M IY Z AH Z
KICKSTART	K IH K S T AA R T
OPERATICALLY	AA P AH R AE T IH K AH L IY
NEBO	N EH B OW
WUNDERN	W AH N D AH R N
MUNIFICENT	M Y UW N AH F IH S AH N T
SHEPHERDESS	SH EH P ER D AH S
SPIDERWEBS	S P AY D ER W EH B Z
BAAAAABY	B AA AA AH B IY
OROVILLE	AO R AH V AH L
YOURSELFIN	Y UH R Z EH L F AH N
MEANTIN	M IY N T IH N
HELLONE	HH EH L OW N
<	
GARZOON	G AA R Z UW N
ROMED	R OW M D
BORODALE	B AO R AH D EY L
SOBRIETYOF	S AA B R IY T AY AH F
STUBB	S T AH B
THROUGHSHADOWS	TH R AW SH AH D OW Z
¿BUT	B AH T
GAITERS	G EY T ER Z
UNWINGED	AH N W IH NG D
GURGES	G AH R JH AH Z
SETOUT	S EH T AW T
3,780	TH R IY S EH V AH N EY T Z IY R OW
FRUITVENDORSDROPPING	F R UW T V EH N D ER Z D R AA P IH NG
BRANCHINGS	B R AE N CH IH NG Z
CATAFALQUED	K AE T AH F AH L K T
FINDINGTHE	F IH N D AH N G
LIVEIN	L IH V IH N
RELD	R EH L D
FALUTIN	F AH L UW T AH N
IIMY	IY M IY
WHILEST	W AY L AH S T
59	F AY V N AY N
STRAPLESS	S T R AE P L AH S
VULVAS	V AH L V AH Z
DISHRAGS	D IH SH R AE G Z
MASCULINES	M AE S K Y AH L AH N Z
ROUTETHROUGH	R UW T IH TH R AH F
HOWLINGIN	HH AW L IH N JH IH N
FULS	F UH L Z
SAWWE	S AO W
SALTGRASS	S AO L T G R AE S
TWEEZERED	T W IY Z ER D
TABLECOVERS	T EY B AH L K AH V ER Z
MÍCONCUSSES	M K AO NG K AH S AH Z
WHOE'ER	W OW AH AH R
UNREADAND	AH N R IY AE D AH N D
PRISMY	P R IH Z M IY
SEEDLIKE	S IY D L AY K
CROOKEDLYAND	K R AH K EH D L AY AH N D
RIVERBEDS	R IH V ER B EH D Z
HUSBANDSHIP	HH AH Z B AH N D SH IH P
GARDENSTHE	G AA R D AH N S DH
STEARING	S T IY R AH NG
RAHKEEDRAUGHTY	R AH K IY D R AH T IY
EVENBACKLIT	IY V AH N B AE K L IH T
LISBELLAW	L IH Z EH L AH
QUEAN	K AE N
HELS	HH EH L Z
ARCHWAYS	AA R CH W EY Z
VOI	V OY
SEAVINE	S IY V AY N
MALUS	M EY L AH S
SUPERINTENDING	S UW P ER IH N T EH N D IH NG
HOPPINGOF	HH AA P IH N G AH F
ESCHEWMENT	IH S CH UW M AH N T
JOWLED	JH AW L D
OVERLAYING	OW V ER L EY IH NG
ULTRAMARINE	AH L T R AH M AH R IY N
HÉRODIADE	HH R OW D IY EY D
NOBLEROT	N OW B AH L R AA T
UPOFF	AH P AO F
EUCLIDIAN	Y UW K L IH D IY AH N
THOUR	TH AW R
O'ODHAM	AH AA D HH AH M
DREADLOCKED	D R EH D L AA K T
DEFIEDTHE	D AH F IY D
VAUNTING	V AO N T AH NG
SWANINSTEAD	S W AA N IH N S T EH D
MORNINGOF	M AO R N IH N G AH F
SHRYVE	SH R AY V
SNCC	EH S EH N S IY K
POVI	P OW V IY
MICHT	M IH CH T
TX	T IY Z
GODFATHERTO	G AA D F AH TH AH R T OW
VTHEN	V TH EH N
ADJUSTYOUR	AE JH AH S T AY AH R
UNIVERSO	Y UW N AH V AH R S OW
THREESPIKES	TH R IY S P AY K S
INFARE	IH N F EH R
JILLTHOUGH	JH IH L TH UW
BAUME	B AO M
LACANJÁ	L AE K AH N JH
***THE	DH AH
PHOSPHORESCENT	F AA S F AH R EH S AH N T
